Instance,DescentSolver,TabooSolver(1_1),TabooSolver(10_3),TabooSolver(100_5),TabooSolver(1000_10),TabooSolver(5000_10)
ft06,0.0,1.8181819,0.0,0.0,0.0,0.0
ft10,29.35484,34.408604,23.333334,20.860214,5.16129,2.903226
ft20,29.012875,33.476395,29.012875,20.515022,2.6609442,0.51502144
la01,4.3543544,5.4054055,4.3543544,0.0,0.0,0.0
la02,20.76336,22.595419,20.76336,12.366412,3.5114503,0.15267175
la03,19.59799,21.440536,15.912898,3.3500838,4.8576217,3.8525963
la04,36.271187,44.915253,27.966103,13.220339,13.220339,13.220339
la05,0.0,0.0,0.0,0.0,0.0,0.0
la06,0.0,0.0,0.0,0.0,0.0,0.0
la07,8.089888,16.516853,5.05618,0.0,0.0,0.0
la08,7.8794904,14.136732,3.8238702,3.128621,0.0,0.0
la09,0.6309148,4.6267085,0.0,0.0,0.0,0.0
la10,2.6096034,3.235908,2.400835,0.0,0.0,0.0
la11,3.7643209,3.7643209,3.0278232,0.0,0.0,0.0
la12,2.5986526,10.779595,3.2723773,0.0,0.0,0.0
la13,0.0,4.2608695,0.0,0.0,0.0,0.0
la14,0.0,0.0,0.0,0.0,0.0,0.0
la15,7.2079535,13.918807,7.2079535,0.0,0.0,0.0
la16,19.682539,20.10582,13.333333,7.6190476,5.714286,0.63492066
la17,21.683674,24.234694,15.561225,3.3163266,1.0204082,1.0204082
la18,15.919811,17.099056,10.495283,4.9528303,4.1273584,1.5330188
la19,20.071259,29.572447,20.071259,6.4133015,3.6817102,1.7814727
la20,6.54102,15.521065,5.9866962,4.323725,4.323725,1.330377
la21,13.001912,23.70937,13.479923,8.795411,3.250478,2.9636712
la22,13.160733,28.694714,13.160733,13.160733,2.8047464,2.8047464
la23,8.139535,12.596899,8.139535,2.0348837,0.0,0.0
la24,15.080214,26.203209,16.04278,8.5561495,4.7058825,3.4224598
la25,26.305016,31.11566,23.23439,17.50256,5.731832,2.2517912
la26,13.464696,20.279146,13.300492,6.732348,2.6272578,0.0
la27,25.82996,29.31174,21.295547,12.064777,3.7246964,3.7246964
la28,19.407894,30.756578,22.12171,10.197369,6.25,2.055921
la29,21.961805,26.128471,20.052084,10.763889,6.423611,3.9930556
la30,13.136532,24.132841,13.136532,8.413284,0.9594096,0.0
la31,7.623318,21.636772,9.417041,1.6816144,0.0,0.0
la32,6.1621623,14.810811,6.1621623,0.0,0.0,0.0
la33,17.6847,29.726585,17.6847,4.421175,0.98894703,0.98894703
la34,18.012783,34.57292,18.012783,7.6118536,0.0,0.0
la35,12.976695,29.978813,17.108051,5.826271,0.529661,0.529661
la36,17.902208,19.40063,16.009464,7.413249,6.6246057,2.9968455
la37,22.190409,35.36149,22.190409,8.947745,4.5096636,3.5075161
la38,26.170568,33.27759,25.0,16.555183,8.528428,4.93311
la39,17.680454,20.924574,17.680454,10.381185,4.622871,2.5952961
la40,28.396072,38.870705,28.641571,18.73977,12.438625,5.400982
