Instance,EST_LRPT,DescentSolver
ft06,5.4545455,5.4545455
ft10,35.16129,35.16129
ft20,35.62232,35.62232
la01,16.066067,16.066067
la02,24.122137,24.122137
la03,25.628141,25.628141
la04,45.084747,45.084747
la05,0.0,0.0
la06,1.8358531,1.8358531
la07,20.0,20.0
la08,15.295481,15.295481
la09,7.360673,7.360673
la10,3.3402922,3.3402922
la11,4.337152,4.337152
la12,18.094322,18.094322
la13,8.0,8.0
la14,0.3869969,0.3869969
la15,14.747308,14.747308
la16,25.291006,25.291006
la17,24.362246,24.362246
la18,23.466982,23.466982
la19,29.691212,29.691212
la20,21.618626,21.618626
la21,26.29063,26.29063
la22,38.727077,38.727077
la23,16.860466,16.860466
la24,29.411764,29.411764
la25,34.80041,34.80041
la26,22.24959,22.24959
la27,32.14575,32.14575
la28,37.99342,37.99342
la29,34.114582,34.114582
la30,26.863468,26.863468
la31,24.047085,24.047085
la32,21.567568,21.567568
la33,30.48284,30.48284
la34,40.557816,40.557816
la35,34.427967,34.427967
la36,21.529968,21.529968
la37,36.5068,36.5068
la38,36.03679,36.03679
la39,22.789944,22.789944
la40,51.63666,51.63666
