Instance,DescentSolver,TabooSolver
ft06,0.0,0.0
ft10,29.35484,23.333334
ft20,29.012875,29.012875
la01,4.3543544,4.3543544
la02,20.76336,20.76336
la03,19.59799,15.912898
la04,36.271187,27.966103
la05,0.0,0.0
la06,0.0,0.0
la07,8.089888,5.05618
la08,7.8794904,3.8238702
la09,0.6309148,0.0
la10,2.6096034,2.400835
la11,3.7643209,3.0278232
la12,2.5986526,3.2723773
la13,0.0,0.0
la14,0.0,0.0
la15,7.2079535,7.2079535
la16,19.682539,13.333333
la17,21.683674,15.561225
la18,15.919811,10.495283
la19,20.071259,20.071259
la20,6.54102,5.9866962
la21,13.001912,13.479923
la22,13.160733,13.160733
la23,8.139535,8.139535
la24,15.080214,16.04278
la25,26.305016,23.23439
la26,13.464696,13.300492
la27,25.82996,21.295547
la28,19.407894,22.12171
la29,21.961805,20.052084
la30,13.136532,13.136532
la31,7.623318,9.417041
la32,6.1621623,6.1621623
la33,17.6847,17.6847
la34,18.012783,18.012783
la35,12.976695,17.108051
la36,17.902208,16.009464
la37,22.190409,22.190409
la38,26.170568,25.0
la39,17.680454,17.680454
la40,28.396072,28.641571
